,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mnb__alpha,param_preproc,param_vect,param_vect__max_df,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,estimator,param_knn__n_neighbors,param_lsvc__penalty,param_sgd__penalty
23,12.531720320383707,0.24857213662030211,6.406163454055786,0.14619700392793902,0.01,FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>),TfidfVectorizer(),1.0,"{'mnb__alpha': 0.01, 'preproc': FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>), 'vect': TfidfVectorizer(), 'vect__max_df': 1.0}",0.722693531283139,0.7342879872712809,0.7398568019093079,0.7322794401545759,0.007149366442177301,11,mnb,,,
24,2.6877353191375732,0.2279696594955068,1.583722670873006,0.09002833208012312,0.001,,TfidfVectorizer(),0.4,"{'mnb__alpha': 0.001, 'preproc': None, 'vect': TfidfVectorizer(), 'vect__max_df': 0.4}",0.7330328738069989,0.7446300715990454,0.7541766109785203,0.7439465187948548,0.008645416462753797,8,mnb,,,
25,3.4327258268992105,0.3724108246897983,1.2567246754964192,0.27282403277846995,0.001,,TfidfVectorizer(),0.6,"{'mnb__alpha': 0.001, 'preproc': None, 'vect': TfidfVectorizer(), 'vect__max_df': 0.6}",0.7332979851537645,0.7448952532484752,0.7541766109785203,0.7441232831269201,0.008541124339881325,7,mnb,,,
26,3.3599470456441245,0.16177023237158955,1.1570573647816975,0.2134734934998134,0.001,,TfidfVectorizer(),0.8,"{'mnb__alpha': 0.001, 'preproc': None, 'vect': TfidfVectorizer(), 'vect__max_df': 0.8}",0.7330328738069989,0.7443648899496155,0.7552373375762397,0.7442117004442846,0.009065581543702876,6,mnb,,,
27,3.4338761965433755,0.1828375635605877,1.5575753053029378,0.06815721143768073,0.001,,TfidfVectorizer(),1.0,"{'mnb__alpha': 0.001, 'preproc': None, 'vect': TfidfVectorizer(), 'vect__max_df': 1.0}",0.7327677624602333,0.7451604348979051,0.75470697427738,0.7442117238785061,0.00898173306358164,5,mnb,,,
28,13.35183835029602,0.36499124261008503,6.4333109855651855,0.12184100577635139,0.001,FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>),TfidfVectorizer(),0.4,"{'mnb__alpha': 0.001, 'preproc': FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>), 'vect': TfidfVectorizer(), 'vect__max_df': 0.4}",0.7126193001060446,0.7159904534606205,0.7260673561389552,0.7182257032352067,0.005713131594970027,21,mnb,,,
29,12.909910440444946,0.1881052735458586,6.5361729462941485,0.20761243914454497,0.001,FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>),TfidfVectorizer(),0.6,"{'mnb__alpha': 0.001, 'preproc': FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>), 'vect': TfidfVectorizer(), 'vect__max_df': 0.6}",0.7126193001060446,0.7159904534606205,0.7260673561389552,0.7182257032352067,0.005713131594970027,21,mnb,,,
30,12.930901209513346,0.8965750167369947,6.493272701899211,0.6296689509152875,0.001,FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>),TfidfVectorizer(),0.8,"{'mnb__alpha': 0.001, 'preproc': FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>), 'vect': TfidfVectorizer(), 'vect__max_df': 0.8}",0.7126193001060446,0.7159904534606205,0.7260673561389552,0.7182257032352067,0.005713131594970027,21,mnb,,,
31,13.436755259831747,0.18175661415110625,6.175497372945149,0.17106746543858325,0.001,FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>),TfidfVectorizer(),1.0,"{'mnb__alpha': 0.001, 'preproc': FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>), 'vect': TfidfVectorizer(), 'vect__max_df': 1.0}",0.7126193001060446,0.7159904534606205,0.7260673561389552,0.7182257032352067,0.005713131594970027,21,mnb,,,
32,3.4466189543406167,0.05510870338574814,1.3478192488352458,0.020694978375167702,1,,CountVectorizer(),,"{'mnb__alpha': 1, 'preproc': None, 'vect': CountVectorizer()}",0.5471898197242842,0.5428268363829223,0.5584725536992841,0.5494964032688302,0.006592286569512053,40,mnb,,,
33,13.179080565770468,0.26197683999879434,6.705911000569661,0.4071510352746069,1,FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>),CountVectorizer(),,"{'mnb__alpha': 1, 'preproc': FunctionTransformer(func=<function text_preproc at 0x7f643d9a1f80>), 'vect': CountVectorizer()}",0.6572110286320254,0.656589763988332,0.6648103951206576,0.6595370625803384,0.0037374250940068877,36,mnb,,,
34,3.4833977222442627,0.30572166272425805,1.4015439351399739,0.12082188106149161,0.1,,CountVectorizer(),,"{'mnb__alpha': 0.1, 'preproc': None, 'vect': CountVectorizer()}",0.6821314952279958,0.7051180058339963,0.7088305489260143,0.6986933499960021,0.011808669670202018,26,mnb,,,
